Frame Time,Row,Column,Well,ImageRep,UniqueID,Flask ID,CellCount.BF.Count,Cell Count,Treatment,Day,Note
00:43.7,E,2,E2,4,E2-4,C2,3,300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:44.3,E,2,E2,5,E2-5,C2,19,1900,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:45.8,E,3,E3,1,E3-1,C3,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:46.4,E,3,E3,2,E3-2,C3,18,1800,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:47.0,E,3,E3,3,E3-3,C3,17,1700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:47.6,E,3,E3,4,E3-4,C3,5,500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:48.3,E,3,E3,5,E3-5,C3,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:49.7,E,4,E4,1,E4-1,C4,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:50.3,E,4,E4,2,E4-2,C4,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:51.0,E,4,E4,3,E4-3,C4,27,2700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:51.6,E,4,E4,4,E4-4,C4,32,3200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:52.2,E,4,E4,5,E4-5,C4,3,300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:53.5,E,5,E5,1,E5-1,C5,3,300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:54.1,E,5,E5,2,E5-2,C5,13,1300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:54.8,E,5,E5,3,E5-3,C5,37,3700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:55.4,E,5,E5,4,E5-4,C5,8,800,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:56.1,E,5,E5,5,E5-5,C5,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:57.4,E,6,E6,1,E6-1,C6,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:58.1,E,6,E6,2,E6-2,C6,29,2900,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:58.8,E,6,E6,3,E6-3,C6,21,2100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
00:59.5,E,6,E6,4,E6-4,C6,4,400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:00.1,E,6,E6,5,E6-5,C6,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:01.7,E,7,E7,1,E7-1,C7,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:02.3,E,7,E7,2,E7-2,C7,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:03.0,E,7,E7,3,E7-3,C7,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:03.6,E,7,E7,4,E7-4,C7,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:04.3,E,7,E7,5,E7-5,C7,31,3100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:05.6,E,8,E8,1,E8-1,C8,7,700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:06.2,E,8,E8,2,E8-2,C8,6,600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:06.8,E,8,E8,3,E8-3,C8,30,3000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:07.5,E,8,E8,4,E8-4,C8,12,1200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:08.1,E,8,E8,5,E8-5,C8,28,2800,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:09.5,E,9,E9,1,E9-1,C9,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:10.3,E,9,E9,2,E9-2,C9,5,500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:11.0,E,9,E9,3,E9-3,C9,58,5800,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:11.6,E,9,E9,4,E9-4,C9,83,8300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:12.3,E,9,E9,5,E9-5,C9,21,2100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:13.7,E,10,E10,1,E10-1,C10,6,600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:14.3,E,10,E10,2,E10-2,C10,24,2400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:14.9,E,10,E10,3,E10-3,C10,74,7400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:15.5,E,10,E10,4,E10-4,C10,30,3000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:16.1,E,10,E10,5,E10-5,C10,36,3600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:17.4,E,11,E11,1,E11-1,C11,33,3300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
